425,DISTRICT_NAME,FISCAL_YEAR,Member,Instruction,Pupil_Staff_Support,Admin,Operation_Other,Transportation_cost,Facility_cost,Food_comm_service_cost
CODE,Use arrow at right to select district.,0,0,0,0,0,0,0,0,0
7,Abbotsford,2018,771,4712764.25,558286.58,871757.43,2018703.9,334309.84,683000,552630.62
14,Adams-Friendship Area,2018,1663,11315823.01,2110928.68,2115173.6,3129814.1,1130666.59,2797284.48,1219918.82
63,Albany,2018,417,3509101.44,356681.75,607621.75,624028.78,236955.8,413496.7,174214.48
70,Algoma,2018,733,4178318.45,711312.88,783952.79,1562039.6,287667.19,469242.75,544778.37
84,Alma,2018,219,1731407.57,223417.02,454989.52,524144.38,242618.66,234552.7,158534.06
91,Alma Center,2018,554,4157245.1,488147.34,778906.07,1213330.41,354808.8,580124.29,364571.98
105,Almond-Bancroft,2018,454,3379471.75,412091.46,535999.4,883700.57,419714.38,568258.37,207233.46
112,Altoona,2018,1513,10114775.13,2593749.94,1905303.04,1991303.86,761606.32,2108874.44,833447.42
119,Amery,2018,1642,12169062.6,1690763.91,2054976.75,2054451.73,938185.37,2794040.2,1693739.11
126,Tomorrow River,2018,968,6144163.43,982213.77,1090016.78,1467703.93,501877,899643.26,623941.47
140,Antigo,2018,2400,15764881.48,2384592.61,2838209.53,4505844.19,1755379.13,972752.87,1478144.2
147,Appleton Area,2018,15434,105835151.9,18834175.76,11709155.66,30190337.39,4977761.25,8192851.68,7203088
154,Arcadia,2018,1325,9754117.84,1764695.41,1128543.29,1889975.22,554908.05,1578893.11,778449.25
161,Argyle,2018,303,2309285.11,238329.61,585657.03,514763.95,237305.41,479483.74,165709.51
170,Ashland,2018,2162,16122305.6,2864672.53,2227295.99,3258118.86,1802478.23,2227881.77,949737.75
182,Ashwaubenon,2018,2285,15592141.23,2736985.31,2563687.1,4952360.6,1052290.63,1386668.07,2530580.91
196,Athens,2018,445,3954525.99,447171.34,648647.44,596884.95,468545.59,234177.3,240217.78
203,Auburndale,2018,808,5736392.73,726173.14,959460.41,1113568.52,595149.2,1050860,320003.74
217,Augusta,2018,587,4721084.36,746775.52,1003712.67,1553051.19,453585.01,648513.47,630680.56
231,Baldwin-Woodville Area,2018,1681,10745376.48,1979186.76,1386500.5,2155201.75,1278068.65,2631239.11,1455060.14
238,Unity,2018,1082,7354164.18,1171628.35,1303429.43,1742349.96,801442.38,2654983.21,1042078.63
245,Bangor,2018,616,4397532.48,845268.76,764478.72,833372.06,309331.91,755434.64,331060.67
280,Baraboo,2018,2984,21436788.31,3241286.91,2778159.95,4439640.72,1299985.8,3567697.23,2031499.54
287,Barneveld,2018,437,3615482.71,374807.82,509518.41,446914.55,145753.44,102970.33,202307.71
308,Barron Area,2018,1457,11311354.82,1794637.21,1604158.78,3119181.22,940745.71,725848.68,966155.3
315,Bayfield,2018,416,5279756.45,1130248.52,885717.32,1239466.15,553649.67,611680.74,408267.85
336,Beaver Dam,2018,3470,24559577.46,4073626.6,3222350.73,5978489.61,1542376.38,4197289.79,1732541.83
350,Belleville,2018,953,7005318.8,1046471.64,1462041.18,1694613.32,263808.65,1382742.93,523691.81
364,Belmont Community,2018,361,2743691.97,295425.45,350206.04,843739.47,170191.29,385442.12,223863.04
413,Beloit,2018,7394,52694707.82,10986861.28,6227705.49,14364467.77,2307690.13,8325348.5,4774823.83
422,Beloit Turner,2018,1205,6873351.08,1838437.66,1303241.24,3383036.33,627172.99,680818.71,618694.71
427,Benton,2018,229,1743021.48,176775.26,473791.69,607754.6,141510.11,343840,169005.34
434,Berlin Area,2018,1643,11286683.02,2367386.16,1345136.49,2050445.71,960507.64,1510393.95,778492.33
441,Birchwood,2018,236,1769725.95,273378.58,608775.42,511770.69,289341.99,865404.17,276687.24
469,Wisconsin Heights,2018,799,5737498.29,1071623.84,1106249.41,1558503.39,649159.2,471549.58,369746.67
476,Black River Falls,2018,1760,12412367.34,2136398.34,2078458.6,2524011.19,1135321.21,2564904.55,1107944.03
485,Blair-Taylor,2018,628,4483721.81,582620.02,744085.66,1274319.89,468551.05,1014713.5,372965.03
490,Pecatonica Area,2018,474,3869092.41,606804.56,745888.91,1145383.54,339310.1,110766.35,227916.14
497,Bloomer,2018,1290,8332106.34,1164526.42,1474243.88,1934883.22,960272.1,1962253.3,498354.41
602,Bonduel,2018,835,5604882.53,750841.49,912818.46,1357252.3,557194.33,860837.5,394171.37
609,Boscobel,2018,842,7107379.44,733442.43,909416.42,1549265.8,296947.25,8598.84,396556.54
616,North Lakeland,2018,134,1784081.38,439052.57,401394.66,518471.81,284511.2,223652.88,297023.82
623,Bowler,2018,420,3743540.59,421302.79,681461.86,900903.58,421853.55,25413.63,228354.16
637,Boyceville Community,2018,740,5326764.6,885202.09,959403.47,1250133.34,415470.4,1028060.2,475956.7
657,Brighton #1,2018,97,460487.12,168760.41,273139.86,355872.18,102495.13,169170,75831.28
658,Brillion,2018,923,5509095.4,780790.24,1105969.64,1473115.9,383357.76,1981229.24,550472.39
665,Bristol #1,2018,720,5022678.44,520597,1032600.31,1033466.49,339883.23,396953.2,271470.26
700,Brodhead,2018,1044,7387185.22,926434.07,1348230.54,1940208.38,443794.24,236143.26,570350.27
714,Elmbrook,2018,7158,52168710.29,8983087.12,5901742.32,10692273.83,4282885.62,8958140.68,3230465.7
721,Brown Deer,2018,1703,13217926.43,1762003.08,2542475.05,3613262.6,705138.04,2899079.03,961000.91
735,Bruce,2018,495,3845309.33,544322.18,705581.01,907984.63,419208.16,51766,334638.45
777,Burlington Area,2018,3318,26488388.84,3241251.88,2851769.81,5945767.87,2255374.07,2225425,1484990.2
840,Butternut,2018,191,1761101.05,321266,381982.03,415002.5,152802.62,1360.5,136832.95
870,Cadott Community,2018,874,5962445.61,1323037.77,901917.88,1435913.7,677023.17,734158,474634.27
882,Cambria-Friesland,2018,391,3396788.2,443942.65,543129.44,648935.69,343074.16,128973.63,449091.44
896,Cambridge,2018,885,5793150.26,1032715.09,1246669.83,2263858.92,530163.74,682510,758986.62
903,Cameron,2018,942,5462864.54,1438920.33,1075871.6,2020055.58,577712.64,1867836,520320.51
910,Campbellsport,2018,1372,9102409.84,1289763.53,1481164.13,2457050.96,1236491.33,1247151.63,464838.4
980,Cashton,2018,579,4318937.07,572555.88,689284.96,899648.12,335469.9,955359.41,389521.1
994,Cassville,2018,237,2321094.55,227397.36,356734,501356.73,224503.57,0,160023.92
1015,Cedarburg,2018,2929,19145108.29,3576993.66,2957826.56,5731961.62,1230483.97,4009548.57,1063307.71
1029,Cedar Grove-Belgium Area,2018,1051,6961846.16,670937.28,1009789.38,2163429.54,458999.36,1440606.71,428949.45
1071,Chequamegon,2018,772,5935834.35,819855.97,1158906.28,1744957.03,647750.75,6500,445520.81
1080,Chetek-Weyerhaeuser,2018,1054,8067349.98,945913.32,1365463.24,1862773.6,1111092.44,1557612.99,1072333.83
1085,Chilton,2018,1127,7018250.2,1051074.97,1419691.06,1766007.03,437879.71,2381076.6,817770.56
1092,Chippewa Falls Area,2018,5230,36009788.32,5254598.07,5516967.86,7942327.62,3684119.63,895693.95,2980401.51
1120,Clayton,2018,334,2736036.68,295940.13,480618.29,916913.01,171541.38,129454.16,236238.11
1127,Clear Lake,2018,654,4166977.21,415360.45,903963.66,1077904.87,494657.52,965408.86,451868.6
1134,Clinton Community,2018,1015,6767184.81,1216501.09,1312668.45,3375126.42,420501.41,934650,527342.48
1141,Clintonville,2018,1356,10549637.88,1390313.45,1543902.75,1952610.26,564241.13,1833350.51,1214912.79
1155,Cochrane-Fountain City,2018,647,4154522.22,472151.91,749766.38,1287301.28,675768.51,735744.29,381920.98
1162,Colby,2018,959,6673932.03,916290.06,1035987.13,1518519.9,738068.97,867093.6,596468.71
1169,Coleman,2018,690,4458238.78,819613.94,701268.04,1666028.85,496612.7,331548.86,306192.15
1176,Colfax,2018,841,5529584.02,555295.45,1065070.27,1217258.77,546295.41,477045.53,355594.05
1183,Columbus,2018,1288,7404842.92,1932783.07,1279149.2,2353496.52,731436.91,1039343.56,695607.72
1204,Cornell,2018,438,3160923.93,265112.18,642332.79,561687.93,296697.19,0,424903.79
1218,Crandon,2018,902,7869811.78,1064268.05,1166656.31,2016075.64,507137.04,111146.74,605798.31
1232,Crivitz,2018,784,4754247.58,769392.67,879126.87,1480972.24,487134.97,0,358410.78
1246,Cuba City,2018,679,5421469.72,694822.58,826842.9,1414914.35,402063.74,529286.77,442105.32
1253,Cudahy,2018,2437,20403181.57,2790857.21,2856418.24,4778416.45,226699.97,4401069.28,1797466.43
1260,Cumberland,2018,928,7736967.42,962428.57,1379864.49,576753.42,795308.27,1012014,702144.15
1295,Darlington Community,2018,816,6122289.99,786163.42,837212.81,1227057.39,428820.64,1071873.75,387910.29
1309,Deerfield Community,2018,790,6081751.45,953908.85,878952.63,1405583.77,345027.47,1518666.26,479784.43
1316,Deforest Area,2018,3679,23371995.72,5287503.01,3347404.83,6528614.94,1636912.79,4429181.59,1677561.61
