423,DISTRICT NAME,PROPTAX,FEDERAL,STATE,LOCAL,TOTAL,MEMBER
CODE,Use arrow at right to select district.,,,,,,
7,Abbotsford,2113688,906123.08,7118411.49,312462.93,10450685.5,767
14,Adams-Friendship Area,11491676,2827930.06,8572807.13,312183.51,23204596.7,1606
63,Albany,3272394,289511.39,3048034.36,328287.31,6938227.06,449
70,Algoma,3306914,595519.45,5345443.6,571090.59,9818967.64,750
84,Alma,2411123,196617.12,1054167.59,174754.01,3836661.72,223
91,Alma Center,2511007,726634.87,5206864.11,405514.36,8850020.34,569
105,Almond-Bancroft,1744105,451728.66,4121632.23,117554.25,6435020.14,452
112,Altoona,6211461,1019392.71,13155375.79,872320.81,21258550.31,1517
119,Amery,8967470,1288394.07,12011510.5,1627166.63,23894541.2,1653
140,Antigo,8335034,2618216.35,18710883.8,1244321.99,30908456.14,2383
147,Appleton Area,68347217,13364701.39,112247373.4,4753882.19,198713174,15486
154,Arcadia,4613340,1330805.33,12486348.74,341257.52,18771751.59,1324
161,Argyle,1723723,303539.05,2543953.97,167137.39,4738353.41,298
2450,Arrowhead UHS,18528241,556789.08,7043608.47,3991679.21,30120317.76,2095
170,Ashland,6659035,3428617.71,20549757.89,939868.26,31577278.86,2212
182,Ashwaubenon,16466315,1721036.14,9637443.63,1400380.02,29225174.79,2302
196,Athens,1899771,542687.1,3771855.79,297024.96,6511338.85,428
203,Auburndale,2670777,665219.49,7018444.69,636361.99,10990803.17,773
217,Augusta,3844129,857832.84,4824876.06,218356.87,9745194.77,609
231,Baldwin-Woodville Area,6365934,881424.11,13746088.26,1618310.52,22611756.89,1712
245,Bangor,3031776,611580.2,4986917.43,278180.17,8908453.8,606
280,Baraboo,15666129,2444061.27,20816254.35,2353935.68,41280380.3,3031
287,Barneveld,2721639,146639.55,3355228.88,397234.95,6620742.38,413
308,Barron Area,5175764,1537607.78,14038116.32,1005472.95,21756961.05,1431
315,Bayfield,6339368,3050976.49,1718077.83,192669.44,11301091.76,440
336,Beaver Dam,15407106,2794108.2,27799920.42,1870881.59,47872016.21,3497
4263,Beecher-Dunbar-Pembine,3394359,311029.96,954767.36,161813.73,4821970.05,237
350,Belleville,5865867,468516.15,6553699.66,590291.85,13478374.66,960
364,Belmont Community,1741218,391881.26,2863709.46,255623.48,5252432.2,376
413,Beloit,17125036,12328578.48,76187573.72,1421729.35,107062917.6,7224
422,Beloit Turner,4976600,1095982.72,9871704.4,705388.75,16649675.87,1202
