423,DISTRICT NAME,PROPTAX,FEDERAL,STATE,LOCAL,TOTAL,MEMBER
CODE,Use arrow at right to select district.,,,,,,
7,Abbotsford,2125709,1422104.28,7744882.9,516171.64,11808867.82,795
14,Adams-Friendship Area,11927267,4185242.22,8143533.47,781510.43,25037553.12,1403
63,Albany,3040949,453496.89,3568519.32,188382.29,7251347.5,410
70,Algoma,3491394,809799.56,5797295.13,357689.74,10456178.43,696
84,Alma,2197667,345442.16,1713302.9,211664.55,4468076.61,222
91,Alma Center,2899142,1048147.24,4992180.87,499542.69,9439012.8,533
105,Almond-Bancroft,1940305,598020.06,4030096.15,47201.32,6615622.53,438
112,Altoona,6741401,1905334,14188487.88,218221.77,23053444.65,1581
119,Amery,8312451,2498170.23,12263989.09,1738012.17,24812622.49,1456
140,Antigo,9402036,3550062.88,18648078.45,1681409.04,33281586.37,2175
147,Appleton Area,71741179,20271576.67,118268135.5,6878030.37,217158921.6,14581
154,Arcadia,4864098,2047335.58,13919911.73,822182.62,21653527.93,1255
161,Argyle,1476783,475509.75,2624295.88,322170.82,4898759.45,286
2450,Arrowhead UHS,18380438,1350075.45,7341945.87,2316489.02,29388948.34,2040
170,Ashland,6645390,3745658.14,22092190.15,639345.54,33122583.83,2008
182,Ashwaubenon,16643395,3562077.89,12024605.13,1403597.87,33633675.89,2186
196,Athens,2207086,883229.65,3958583.28,334248.66,7383147.59,403
203,Auburndale,2571301,1001491.41,6990998.69,714979.4,11278770.5,748
217,Augusta,3540774,1557593.68,5380107.47,550089.26,11028564.41,601
231,Baldwin-Woodville Area,7271025,1485289.85,14485633.95,1341904.74,24583853.54,1645
245,Bangor,3177317,1191272.48,5293881.27,343956.4,10006427.15,604
280,Baraboo,17641421,3264736.76,23101366.69,1425863.45,45433387.9,2890
287,Barneveld,2951479,330691.7,3472420.69,167617.69,6922209.08,412
308,Barron Area,5619865,2081287.98,14040271.47,1082924.74,22824349.19,1336
315,Bayfield,6944524,3834787.63,1789453.29,281285.12,12850050.04,431
336,Beaver Dam,16520720,4065551.64,29757138.66,1679835.75,52023246.05,3456
4263,Beecher-Dunbar-Pembine,3537379,377937.98,939074.64,121587.21,4975978.83,241
350,Belleville,6831808,790905.81,6777066.12,810626.1,15210406.03,918
364,Belmont Community,1565451,853416.13,3353135.43,245634.28,6017636.84,349
413,Beloit,17522775,13771691.97,81191819.71,895575.8,113381862.5,6484
422,Beloit Turner,5669101,1541250.93,11500993.14,318092.63,19029437.7,1195
427,Benton,942666,348639.42,2492467.58,143842.51,3927615.51,236
