School Year,District Code,School Code,Cooperative Educational Service Agency,District Name,Overall Accountability Score,Overall Accountability Rating,Lowest Grade in the District,Highest Grade in the District,School Type,District Enrollment,Percent American Indian or Alaskan Native,Percent Asian,Percent Black or African American,Percent Hispanic/Latino,Percent Native Hawaiian or Other Pacific Islander,Percent White,Percent Two or More Races,Percent Students with Disabilities,Percent Economically Disadvantaged,Percent Limited English Proficient,Percent Within District Mobility,Percent Between District Mobility,District Student Achievement Score,District ELA Achievement Score,District Mathematics Achievement Score,District Student Growth Score,District ELA Growth Score,District Mathematics Growth Score,District Closing Gaps Score,District ELA Gap Score,District Mathematics Gap Score,District 4 Year Graduation Gap Score,District 6 Year Graduation Gap Score,District Graduation Gap Score,District On-Track and Postsecondary Readiness Score,District Graduation Rate Score,District Attendance Rate Score,District Third-Grade ELA Achievement Score,District Eighth-Grade Mathematics Achievement Score,District Student Achievement Max Score,District ELA Achievement Max Score,District Mathematics Achievement Max Score,District Student Growth Max Score,District ELA Growth Max Score,District Mathematics Growth Max Score,District Closing Gaps Max Score,District ELA Achievement Gap Max Score,District Mathematics Achievement Gap Max Score,District Graduation Gap Max Score,District On-Track and Postsecondary Readiness Max Score,District Graduation Rate Max Score,District Attendance Rate Max Score,District Third-Grade ELA Achievement Max Score,District Eighth-Grade Mathematics Achievement Max Score,State Student Achievement Score,State ELA Achievement Score,State Mathematics Achievement Score,State Student Growth Score,State ELA Growth Score,State Mathematics Growth Score,State Closing Gaps Score,State ELA Achievement Gaps Score,State Mathematics Achievement Gaps Score,State Graduation Gaps Score,State On-Track and Postsecondary Readiness Score,State Graduation Rate Score,State Attendance Rate Score,State Third-Grade ELA Achievement Score,State Eighth-Grade Mathematics Achievement Score,State Student Achievement Max Score,State ELA Achievement Max Score,State Mathematics Achievement Max Score,State Student Growth Max Score,State ELA Growth Max Score,State Mathematics Growth Max Score,State Closing Gaps Max Score,State ELA Achievement Gaps Max Score,State Mathematics Achievement Gaps Max Score,State 4 Year Graduation Gaps Max Score,State 6 Year Graduation Gaps Max Score,State Graduation Gaps Max Score,State On-Track and Postsecondary Readiness Max Score,State Graduation Rate Max Score,State Attendance Rate Max Score,State Third-Grade ELA Achievement Max Score,State Eighth-Grade Mathematics Achievement Max Score,Student Engagement Indicators Deduction,Absenteeism Rate Deduction,Dropout Rate Deduction,Test Partcipation ELA 2018 All Students,Test Partcipation ELA MULTI-YEAR All Students,Test Partcipation Mathematics 2018 All Students,Test Partcipation Mathematics MULTI-YEAR All Students,Subgroup with lowest test participation rate 2018,Test Partcipation ELA 2018 lowest rate subgroup,Test Partcipation ELA MULTI-YEAR lowest rate subgroup,Test Partcipation Mathematics 2018 lowest rate subgroup,Test Partcipation Mathematics MULTI-YEAR lowest rate subgroup,Score weighting Achievement Priority Area,Score weighting Growth Priority Area,Score weighting Closing Gaps Priority Area,Score weighting Ontrack Priority Area,District Percent Proficient ELA 2014,State Percent Proficient ELA 2014,District Percent Proficient Mathematics 2014,State Percent Proficient Mathematics 2014,District Percent Proficient ELA 2015,State Percent Proficient ELA 2015,District Percent Proficient Mathematics 2015,State Percent Proficient Mathematics 2015,District Percent Proficient ELA 2016,State Percent Proficient ELA 2016,District Percent Proficient Mathematics 2016,State Percent Proficient Mathematics 2016,District Percent Proficient ELA 2017,State Percent Proficient ELA 2017,District Percent Proficient Mathematics 2017,State Percent Proficient Mathematics 2017,District Percent Proficient ELA 2018,State Percent Proficient ELA 2018,District Percent Proficient Mathematics 2018,State Percent Proficient Mathematics 2018,Notes,Notes,Change Outlier Note,Open enrollment note,No Score Note,Grade Band for Comparison,CESA,Locale description,City,Agency type,Charter school indicator,Virtual school indicator
2017-18,2450,20,Arrowhead UHS,Arrowhead High,82.8,Exceeds Expectations,9,12,High School,"2,174",0.20%,2.00%,0.50%,3.10%,0.10%,92.00%,2.00%,7.90%,5.70%,0.20%,0.00%,1.50%,86.5,40.8,45.7,NA,NA,NA,71.3,13,13.5,19.8,25,44.8,98.6,98.6,NA,NA,NA,100,50,50,NA,NA,NA,100,25,25,50,100,100,NA,NA,NA,57.3,29.8,27.5,NA,NA,NA,67.7,17.4,17.5,32.8,90.6,90.6,NA,NA,NA,100,50,50,NA,NA,NA,100,25,25,25,25,50,100,100,NA,NA,NA,Total Deductions: 0,Goal met: no deduction,Goal met: no deduction,98.60%,99.30%,98.60%,99.30%,Lowest Subgroup Rate: SwD,88.90%,95.30%,88.90%,95.30%,40.00%,NA,40.00%,20.00%,0.676,0.367,0.729,0.488,0.731,0.521,0.656,0.44,0.696,0.424,0.705,0.41,0.606,0.435,0.675,0.412,0.589,0.415,0.671,0.42,,,,,,9-12,1,Suburb,Hartland,Public school,No,No
2017-18,6013,20,Big Foot UHS,Big Foot High,67.1,Meets Expectations,9,12,High School,481,0.80%,1.30%,1.10%,22.80%,0.00%,70.40%,3.60%,14.60%,39.10%,4.70%,0.00%,4.90%,55.6,30.3,25.3,NA,NA,NA,63.9,13,12.5,16.9,21.5,38.4,96.6,96.6,NA,NA,NA,100,50,50,NA,NA,NA,100,25,25,50,100,100,NA,NA,NA,57.3,29.8,27.5,NA,NA,NA,67.7,17.4,17.5,32.8,90.6,90.6,NA,NA,NA,100,50,50,NA,NA,NA,100,25,25,25,25,50,100,100,NA,NA,NA,Total Deductions: 0,Goal met: no deduction,Goal met: no deduction,94.30%,96.30%,94.30%,96.30%,Lowest Subgroup Rate: Econ Disadv,89.50%,95.80%,89.50%,95.80%,40.00%,NA,40.00%,20.00%,0.368,0.367,0.5,0.488,0.518,0.521,0.348,0.44,0.407,0.424,0.298,0.41,0.415,0.435,0.322,0.412,0.388,0.415,0.316,0.42,,,,,,9-12,2,Town,Walworth,Public school,No,No
2017-18,657,20,Brighton #1,Brighton Elementary,92.2,Significantly Exceeds Expectations,K4,8,Elementary School,209,0.00%,1.00%,0.50%,5.30%,0.00%,93.30%,0.00%,3.80%,11.50%,0.00%,0.00%,1.40%,93.8,46.5,47.3,64.1,25.4,38.7,97.7,48.1,49.6,NA,NA,NA,94.4,NA,74.6,10,9.8,100,50,50,100,50,50,100,50,50,NA,100,NA,80,10,10,63.9,32.4,31.5,66,33,33,69.9,35.5,34.4,NA,86.6,NA,74.6,6.3,5.7,100,50,50,100,50,50,100,50,50,NA,NA,NA,100,NA,80,10,10,Total Deductions: 0,Goal met: no deduction,Goal met: no deduction,100%,99.80%,100%,99.80%,Lowest Subgroup Rate: White,100%,99.70%,100%,99.70%,40.70%,0.093,25.00%,25.00%,0.573,0.367,0.672,0.488,0.845,0.521,0.682,0.44,0.794,0.424,0.683,0.41,0.731,0.435,0.769,0.412,0.632,0.415,0.757,0.42,,,,,,K-8,2,Rural,Kansasville,Public school,No,No
2017-18,665,20,Bristol #1,Bristol Elementary,76.5,Exceeds Expectations,K4,8,Elementary School,839,0.00%,1.50%,0.80%,8.80%,0.00%,86.10%,2.70%,9.80%,17.20%,2.30%,0.00%,2.90%,83.6,42.9,40.7,77.4,40.6,36.8,52,28.6,23.4,NA,NA,NA,90,NA,75.4,7.4,7.2,100,50,50,100,50,50,100,50,50,NA,100,NA,80,10,10,63.9,32.4,31.5,66,33,33,69.9,35.5,34.4,NA,86.6,NA,74.6,6.3,5.7,100,50,50,100,50,50,100,50,50,NA,NA,NA,100,NA,80,10,10,Total Deductions: 0,Goal met: no deduction,Goal met: no deduction,99.60%,98.70%,99.60%,98.70%,Lowest Subgroup Rate: SwD,96.20%,95.50%,96.20%,95.50%,36.90%,0.131,25.00%,25.00%,0.491,0.367,0.672,0.488,0.741,0.521,0.654,0.44,0.635,0.424,0.58,0.41,0.661,0.435,0.609,0.412,0.61,0.415,0.588,0.42,,,,,,K-8,2,Suburb,Bristol,Public school,No,No
2017-18,5054,20,Central/Westosha UHS,Central High,66.9,Meets Expectations,9,12,High School,"1,081",0.20%,0.70%,0.80%,8.70%,0.00%,86.50%,3.10%,10.50%,15.70%,0.60%,0.00%,3.90%,62.8,33.1,29.7,NA,NA,NA,57.2,15.2,17.1,12.4,12.5,24.9,94.6,94.6,NA,NA,NA,100,50,50,NA,NA,NA,100,25,25,50,100,100,NA,NA,NA,57.3,29.8,27.5,NA,NA,NA,67.7,17.4,17.5,32.8,90.6,90.6,NA,NA,NA,100,50,50,NA,NA,NA,100,25,25,25,25,50,100,100,NA,NA,NA,Total Deductions: 0,Goal met: no deduction,Goal met: no deduction,96.90%,97.90%,96.50%,97.80%,Lowest Subgroup Rate: SwD,92.60%,93.50%,92.60%,93.50%,40.00%,NA,40.00%,20.00%,0.509,0.367,0.498,0.488,0.547,0.521,0.371,0.44,0.462,0.424,0.367,0.41,0.504,0.435,0.392,0.412,0.473,0.415,0.393,0.42,,,,,,9-12,2,Rural,Salem,Public school,No,No
2017-18,721,  NA,Cooperative Ed Serv Agcy 01,Brown Deer,73.2,Exceeds Expectations,K4,12,NA,"1,548",0.60%,12.50%,47.10%,8.30%,0.10%,24.20%,7.30%,15.80%,43.60%,6.00%,0.30%,4.50%,58.9,30.7,28.2,62.3,32.1,30.2,82.9,18.4,17.3,22.2,25,47.2,88.1,38.7,37.4,7.2,4.8,100,50,50,100,50,50,100,25,25,50,100,40,40,10,10,63,32.1,30.9,66,33,33,67.9,17.8,17.3,32.8,85,36.3,36.7,6.3,5.7,100,50,50,100,50,50,100,25,25,25,25,50,100,40,40,10,10,Total Deductions: 0,Goal met: no deduction,Goal met: no deduction,98.10%,98.10%,98%,98.10%,Lowest Subgroup Rate: SwD,91%,92.20%,91%,92.20%,19.30%,30.70%,25.00%,25.00%,0.298,0.367,0.427,0.488,0.482,0.521,0.39,0.44,0.411,0.424,0.38,0.41,0.433,0.435,0.368,0.412,0.396,0.415,0.369,0.42,NA,NA,,,NA,K-12,1,NA,Brown Deer,Public school district,N,N
2017-18,1015,  NA,Cooperative Ed Serv Agcy 01,Cedarburg,81.8,Exceeds Expectations,K4,12,NA,"3,098",0.30%,2.40%,1.20%,3.40%,0.10%,90.40%,2.30%,9.20%,6.40%,0.80%,0.00%,1.20%,88,44.5,43.5,60.3,27.3,33,63.2,17.1,15.8,30.3,NA,30.3,94.7,39.6,38,8.9,8.2,100,50,50,100,50,50,100,25,25,50,100,40,40,10,10,63,32.1,30.9,66,33,33,67.9,17.8,17.3,32.8,85,36.3,36.7,6.3,5.7,100,50,50,100,50,50,100,25,25,50,NA,50,100,40,40,10,10,Total Deductions: 0,Goal met: no deduction,Goal met: no deduction,97.70%,97.80%,97.70%,97.80%,Lowest Subgroup Rate: Black,91.70%,95.10%,91.70%,95.10%,44.10%,5.90%,25.00%,25.00%,0.643,0.367,0.77,0.488,0.784,0.521,0.709,0.44,0.694,0.424,0.67,0.41,0.703,0.435,0.671,0.412,0.63,0.415,0.649,0.42,NA,NA,,,NA,K-12,1,NA,Cedarburg,Public school district,N,N
2017-18,1253,  NA,Cooperative Ed Serv Agcy 01,Cudahy,63.1,Meets Expectations,K4,12,NA,"2,322",0.60%,2.10%,7.60%,21.00%,0.10%,62.90%,5.70%,17.40%,57.90%,8.10%,0.30%,5.10%,50.5,27.2,23.3,50.8,23.5,27.3,68,18.2,18.7,9.9,21.2,31.1,83.1,37.3,36.4,6.3,3.1,100,50,50,100,50,50,100,25,25,50,100,40,40,10,10,63,32.1,30.9,66,33,33,67.9,17.8,17.3,32.8,85,36.3,36.7,6.3,5.7,100,50,50,100,50,50,100,25,25,25,25,50,100,40,40,10,10,Total Deductions: 0,Goal met: no deduction,Goal met: no deduction,97.70%,98.10%,97.50%,98.10%,Lowest Subgroup Rate: Hispanic,96.90%,97.70%,96.50%,97.60%,9.70%,40.30%,25.00%,25.00%,0.259,0.367,0.325,0.488,0.444,0.521,0.29,0.44,0.335,0.424,0.218,0.41,0.332,0.435,0.264,0.412,0.327,0.415,0.311,0.42,NA,NA,,,NA,K-12,1,NA,Cudahy,Public school district,N,N
2017-18,714,  NA,Cooperative Ed Serv Agcy 01,Elmbrook,88.4,Significantly Exceeds Expectations,PK,12,NA,"7,239",0.40%,15.70%,2.80%,6.10%,0.00%,70.60%,4.40%,10.10%,6.80%,4.10%,0.10%,2.20%,89.5,43.3,46.2,65.1,30.2,34.9,86.2,19.6,18.7,22.9,25,47.9,94.3,39.2,38.1,8.7,8.3,100,50,50,100,50,50,100,25,25,50,100,40,40,10,10,63,32.1,30.9,66,33,33,67.9,17.8,17.3,32.8,85,36.3,36.7,6.3,5.7,100,50,50,100,50,50,100,25,25,25,25,50,100,40,40,10,10,Total Deductions: 0,Goal met: no deduction,Goal met: no deduction,97.80%,98.50%,97.80%,98.40%,Lowest Subgroup Rate: SwD,92.20%,95.70%,92.50%,95.80%,43.80%,6.20%,25.00%,25.00%,0.565,0.367,0.771,0.488,0.737,0.521,0.708,0.44,0.637,0.424,0.671,0.41,0.627,0.435,0.687,0.412,0.636,0.415,0.689,0.42,NA,NA,,,NA,K-12,1,NA,Brookfield,Public school district,N,N
2017-18,1890,  NA,Cooperative Ed Serv Agcy 01,Fox Point J2,91.8,Significantly Exceeds Expectations,K4,8,NA,818,0.20%,7.10%,9.90%,5.00%,0.10%,72.40%,5.30%,10.90%,8.30%,2.70%,0.00%,2.30%,94,48.3,45.7,71.7,38.7,33,91.3,46.9,44.4,NA,NA,NA,94.2,NA,76.5,9.4,8.3,100,50,50,100,50,50,100,50,50,NA,100,NA,80,10,10,63.9,32.4,31.5,66,33,33,69.9,35.5,34.4,NA,86.6,NA,74.6,6.3,5.7,100,50,50,100,50,50,100,50,50,NA,NA,NA,100,NA,80,10,10,Total Deductions: 0,Goal met: no deduction,Goal met: no deduction,98.50%,99%,98.50%,98.80%,Lowest Subgroup Rate: SwD,96.70%,98.30%,96.70%,98.30%,42.80%,0.072,25.00%,25.00%,0.615,0.367,0.739,0.488,0.78,0.521,0.688,0.44,0.716,0.424,0.687,0.41,0.778,0.435,0.7,0.412,0.709,0.415,0.663,0.42,NA,NA,,,NA,K-8,1,NA,Milwaukee,Public school district,N,N
