School Year,District Code,School Code,Cooperative Educational Service Agency,District Name,Overall Accountability Score,Overall Accountability Rating,Lowest Grade in the District,Highest Grade in the District,School Type,District Enrollment,Percent American Indian or Alaskan Native,Percent Asian,Percent Black or African American,Percent Hispanic/Latino,Percent Native Hawaiian or Other Pacific Islander,Percent White,Percent Two or More Races,Percent Students with Disabilities,Percent Economically Disadvantaged,Percent Limited English Proficient,Percent Within District Mobility,Percent Between District Mobility,District Student Achievement Score,District ELA Achievement Score,District Mathematics Achievement Score,District Student Growth Score,District ELA Growth Score,District Mathematics Growth Score,District Closing Gaps Score,District ELA Gap Score,District Mathematics Gap Score,District 4 Year Graduation Gap Score,District 6 Year Graduation Gap Score,District Graduation Gap Score,District On-Track and Postsecondary Readiness Score,District Graduation Rate Score,District Attendance Rate Score,District Third-Grade ELA Achievement Score,District Eighth-Grade Mathematics Achievement Score,District Student Achievement Max Score,District ELA Achievement Max Score,District Mathematics Achievement Max Score,District Student Growth Max Score,District ELA Growth Max Score,District Mathematics Growth Max Score,District Closing Gaps Max Score,District ELA Achievement Gap Max Score,District Mathematics Achievement Gap Max Score,District Graduation Gap Max Score,District On-Track and Postsecondary Readiness Max Score,District Graduation Rate Max Score,District Attendance Rate Max Score,District Third-Grade ELA Achievement Max Score,District Eighth-Grade Mathematics Achievement Max Score,State Student Achievement Score,State ELA Achievement Score,State Mathematics Achievement Score,State Student Growth Score,State ELA Growth Score,State Mathematics Growth Score,State Closing Gaps Score,State ELA Achievement Gaps Score,State Mathematics Achievement Gaps Score,State Graduation Gaps Score,State On-Track and Postsecondary Readiness Score,State Graduation Rate Score,State Attendance Rate Score,State Third-Grade ELA Achievement Score,State Eighth-Grade Mathematics Achievement Score,State Student Achievement Max Score,State ELA Achievement Max Score,State Mathematics Achievement Max Score,State Student Growth Max Score,State ELA Growth Max Score,State Mathematics Growth Max Score,State Closing Gaps Max Score,State ELA Achievement Gaps Max Score,State Mathematics Achievement Gaps Max Score,State 4 Year Graduation Gaps Max Score,State 6 Year Graduation Gaps Max Score,State Graduation Gaps Max Score,State On-Track and Postsecondary Readiness Max Score,State Graduation Rate Max Score,State Attendance Rate Max Score,State Third-Grade ELA Achievement Max Score,State Eighth-Grade Mathematics Achievement Max Score,Student Engagement Indicators Deduction,Absenteeism Rate Deduction,Dropout Rate Deduction,Test Partcipation ELA 2019 All Students,Test Partcipation ELA MULTI-YEAR All Students,Test Partcipation Mathematics 2019 All Students,Test Partcipation Mathematics MULTI-YEAR All Students,Subgroup with lowest test participation rate 2019,Test Partcipation ELA 2019 lowest rate subgroup,Test Partcipation ELA MULTI-YEAR lowest rate subgroup,Test Partcipation Mathematics 2019 lowest rate subgroup,Test Partcipation Mathematics MULTI-YEAR lowest rate subgroup,Score weighting Achievement Priority Area,Score weighting Growth Priority Area,Score weighting Closing Gaps Priority Area,Score weighting Ontrack Priority Area,District Percent Proficient ELA 2015,State Percent Proficient ELA 2015,District Percent Proficient Mathematics 2015,State Percent Proficient Mathematics 2015,District Percent Proficient ELA 2016,State Percent Proficient ELA 2016,District Percent Proficient Mathematics 2016,State Percent Proficient Mathematics 2016,District Percent Proficient ELA 2017,State Percent Proficient ELA 2017,District Percent Proficient Mathematics 2017,State Percent Proficient Mathematics 2017,District Percent Proficient ELA 2018,State Percent Proficient ELA 2018,District Percent Proficient Mathematics 2018,State Percent Proficient Mathematics 2018,District Percent Proficient ELA 2019,State Percent Proficient ELA 2019,District Percent Proficient Mathematics 2019,State Percent Proficient Mathematics 2019,Notes,Notes,Change Outlier Note,Accountability Resource Link,Open enrollment note,No Score Note,Grade Band for Comparison,CESA,Locale description,City,Agency type,Charter school indicator,Virtual school indicator
2018-19,2450,20,Arrowhead UHS,Arrowhead High,89.7,Significantly Exceeds Expectations,9,12,High School,"2,139",0.10%,2.10%,0.40%,3.60%,0.10%,91.40%,2.20%,7.50%,6.50%,0.30%,0.00%,1.30%,89.3,42.4,46.9,72.7,31.1,41.6,87.1,19.9,21.8,20.4,25,45.4,99.3,99.3,NA,NA,NA,100,50,50,100,50,50,100,25,25,50,100,100,NA,NA,NA,59.8,31.1,28.7,66,33,33,67.3,17.4,17.2,32.7,90.8,90.8,NA,NA,NA,100,50,50,100,50,50,100,25,25,25,25,50,100,100,NA,NA,NA,Total Deductions: 0,Goal met: no deduction,Goal met: no deduction,97.60%,98.10%,97.60%,98.20%,Lowest Subgroup Rate: SwD,93.90%,94.10%,93.90%,94.10%,46.90%,6.40%,26.70%,20.00%,0.681,0.502,0.692,0.424,0.631,0.425,0.678,0.405,0.599,0.434,0.661,0.405,0.645,0.423,0.713,0.418,0.651,0.406,0.704,0.41,,,,,,,12-Sep,1,Suburb,Hartland,Public school,No,No
2018-19,6013,20,Big Foot UHS,Big Foot High,77.7,Exceeds Expectations^,9,12,High School,489,1.00%,0.80%,1.60%,21.90%,0.00%,70.90%,3.70%,12.90%,40.80%,5.70%,0.20%,4.10%,64.5,34.4,30.1,73.7,43.5,30.2,81.7,22.5,20,14.2,25,39.2,93.4,93.4,NA,NA,NA,100,50,50,100,50,50,100,25,25,50,100,100,NA,NA,NA,59.8,31.1,28.7,66,33,33,67.3,17.4,17.2,32.7,90.8,90.8,NA,NA,NA,100,50,50,100,50,50,100,25,25,25,25,50,100,100,NA,NA,NA,Total Deductions: 0,Goal met: no deduction,Goal met: no deduction,97.80%,97.40%,97.80%,97.40%,Lowest Subgroup Rate: Hispanic,96.30%,97.50%,96.30%,97.50%,22.50%,30.80%,26.70%,20.00%,0.438,0.502,0.348,0.424,0.391,0.425,0.345,0.405,0.421,0.434,0.379,0.405,0.511,0.423,0.423,0.418,0.455,0.406,0.397,0.41,,,^Outlier change in score from last year (see below),,,,12-Sep,2,Town,Walworth,Public school,No,No
2018-19,657,20,Brighton #1,Brighton Elementary,85.6,Significantly Exceeds Expectations,K4,8,Elementary School,226,0.00%,0.90%,1.30%,6.20%,0.00%,90.70%,0.90%,5.80%,16.80%,0.00%,0.00%,3.50%,90.5,43.7,46.8,58.5,24.5,34,NA*,NA,NA,NA,NA,NA,95.6,NA,75.7,10,9.9,100,50,50,100,50,50,NA,NA,NA,NA,100,NA,80,10,10,63.5,31.9,31.6,66,33,33,73.9,37.2,36.7,NA,86.3,NA,74.4,6.2,5.7,100,50,50,100,50,50,100,50,50,NA,NA,NA,100,NA,80,10,10,Total Deductions: 0,Goal met: no deduction,Goal met: no deduction,100%,100%,99.30%,99.80%,Lowest Subgroup Rate: White,100%,100%,99.20%,99.70%,55.70%,19.30%,NA,25.00%,0.845,0.502,0.682,0.424,0.794,0.425,0.683,0.405,0.731,0.434,0.769,0.405,0.632,0.423,0.757,0.418,0.619,0.406,0.667,0.41,,,,,,,K-8,2,Rural,Kansasville,Public school,No,No
2018-19,665,20,Bristol #1,Bristol Elementary,73.1,Exceeds Expectations,K4,8,Elementary School,851,0.00%,1.30%,0.50%,8.90%,0.00%,86.30%,3.10%,9.80%,21.00%,2.10%,0.10%,1.90%,80.6,40.8,39.8,69.8,36.8,33,48.9,22.9,26,NA,NA,NA,89,NA,74.8,6.9,7.3,100,50,50,100,50,50,100,50,50,NA,100,NA,80,10,10,63.5,31.9,31.6,66,33,33,73.9,37.2,36.7,NA,86.3,NA,74.4,6.2,5.7,100,50,50,100,50,50,100,50,50,NA,NA,NA,100,NA,80,10,10,Total Deductions: 0,Goal met: no deduction,Goal met: no deduction,99.40%,99.40%,99.40%,99.40%,Lowest Subgroup Rate: Hispanic,96.10%,98.50%,96.10%,98.50%,34.30%,15.70%,25.00%,25.00%,0.741,0.502,0.654,0.424,0.635,0.425,0.58,0.405,0.661,0.434,0.609,0.405,0.61,0.423,0.588,0.418,0.55,0.406,0.566,0.41,,,,,,,K-8,2,Suburb,Bristol,Public school,No,No
2018-19,5054,20,Central/Westosha UHS,Central High,74.8,Exceeds Expectations,9,12,High School,"1,126",0.30%,1.30%,0.60%,9.60%,0.00%,85.30%,2.80%,10.50%,16.30%,0.40%,0.00%,4.00%,72.7,37.5,35.2,66,31.1,34.9,67.6,20.5,21,12.9,13.2,26.1,94.3,94.3,NA,NA,NA,100,50,50,100,50,50,100,25,25,50,100,100,NA,NA,NA,59.8,31.1,28.7,66,33,33,67.3,17.4,17.2,32.7,90.8,90.8,NA,NA,NA,100,50,50,100,50,50,100,25,25,25,25,50,100,100,NA,NA,NA,Total Deductions: 0,Goal met: no deduction,Goal met: no deduction,98.70%,98.40%,98.40%,98.40%,Lowest Subgroup Rate: SwD,91.80%,93.90%,91.80%,93.90%,40.00%,13.40%,26.70%,20.00%,0.536,0.502,0.427,0.424,0.512,0.425,0.414,0.405,0.545,0.434,0.45,0.405,0.556,0.423,0.507,0.418,0.551,0.406,0.516,0.41,,,,,,,12-Sep,2,Rural,Salem,Public school,No,No
2018-19,721,  NA,Cooperative Ed Serv Agcy 01,Brown Deer,74.2,Exceeds Expectations,K4,12,NA,"1,521",0.70%,12.60%,49.60%,8.20%,0.00%,21.10%,7.90%,14.40%,49.50%,6.40%,0.10%,3.90%,55.1,28.7,26.4,67.9,34.9,33,81.4,17.9,17.4,21.1,25,46.1,87.6,38.4,37.3,6.8,5.1,100,50,50,100,50,50,100,25,25,50,100,40,40,10,10,62.3,31.6,30.7,66,33,33,68.8,18.1,18,32.7,84.8,36.3,36.6,6.2,5.7,100,50,50,100,50,50,100,25,25,25,25,50,100,40,40,10,10,Total Deductions: 0,Goal met: no deduction,Goal met: no deduction,98.30%,98.20%,98.30%,98.10%,Lowest Subgroup Rate: SwD,90.70%,92.20%,90.70%,92.00%,15.30%,34.70%,25.00%,25.00%,0.462,0.502,0.372,0.424,0.393,0.425,0.353,0.405,0.393,0.434,0.339,0.405,0.372,0.423,0.332,0.418,0.347,0.406,0.361,0.41,NA,NA,,NA,,,K-12,1,NA,Brown Deer,Public school district,N,N
2018-19,1015,  NA,Cooperative Ed Serv Agcy 01,Cedarburg,83.8,Significantly Exceeds Expectations,K4,12,NA,"3,122",0.20%,2.30%,1.20%,3.30%,0.10%,90.40%,2.50%,8.60%,7.70%,0.50%,0.00%,1.10%,89,44.8,44.2,79.3,40.6,38.7,66,18.9,19.4,27.7,NA,27.7,93.7,39.3,37.4,8.8,8.2,100,50,50,100,50,50,100,25,25,50,100,40,40,10,10,62.3,31.6,30.7,66,33,33,68.8,18.1,18,32.7,84.8,36.3,36.6,6.2,5.7,100,50,50,100,50,50,100,25,25,50,NA,50,100,40,40,10,10,Total Deductions: 0,Goal met: no deduction,Goal met: no deduction,97.30%,97.90%,97.30%,97.90%,Lowest Subgroup Rate: SwD,92.40%,94.10%,92.40%,94.30%,43.20%,6.80%,25.00%,25.00%,0.789,0.502,0.697,0.424,0.714,0.425,0.679,0.405,0.714,0.434,0.668,0.405,0.657,0.423,0.66,0.418,0.664,0.406,0.673,0.41,NA,NA,,NA,,,K-12,1,NA,Cedarburg,Public school district,N,N
2018-19,1253,  NA,Cooperative Ed Serv Agcy 01,Cudahy,68.9,Meets Expectations,K4,12,NA,"2,326",0.70%,1.60%,9.50%,20.20%,0.10%,62.10%,5.90%,16.90%,62.20%,8.80%,0.10%,3.60%,48.6,26.1,22.5,63.2,34,29.2,71,17.9,18.7,13.1,21.3,34.4,82.4,36.7,36.3,6.1,3.3,100,50,50,100,50,50,100,25,25,50,100,40,40,10,10,62.3,31.6,30.7,66,33,33,68.8,18.1,18,32.7,84.8,36.3,36.6,6.2,5.7,100,50,50,100,50,50,100,25,25,25,25,50,100,40,40,10,10,Total Deductions: 0,Goal met: no deduction,Goal met: no deduction,97.60%,97.60%,97.70%,97.70%,Lowest Subgroup Rate: SwD,95.30%,96.00%,95.70%,96.20%,6.90%,43.10%,25.00%,25.00%,0.41,0.502,0.274,0.424,0.326,0.425,0.214,0.405,0.322,0.434,0.245,0.405,0.313,0.423,0.278,0.418,0.32,0.406,0.278,0.41,NA,NA,,NA,,,K-12,1,NA,Cudahy,Public school district,N,N
2018-19,714,  NA,Cooperative Ed Serv Agcy 01,Elmbrook,88.9,Significantly Exceeds Expectations,PK,12,NA,"7,334",0.30%,16.00%,2.60%,6.40%,0.00%,69.80%,4.80%,11.10%,8.00%,4.30%,0.10%,2.00%,89.9,43.4,46.5,78.4,36.8,41.6,85,19.9,20,22.6,22.5,45.1,93.9,38.7,38.1,8.5,8.6,100,50,50,100,50,50,100,25,25,50,100,40,40,10,10,62.3,31.6,30.7,66,33,33,68.8,18.1,18,32.7,84.8,36.3,36.6,6.2,5.7,100,50,50,100,50,50,100,25,25,25,25,50,100,40,40,10,10,Total Deductions: 0,Goal met: no deduction,Goal met: no deduction,98.00%,98.30%,98.10%,98.30%,Lowest Subgroup Rate: SwD,92.30%,94.30%,92.70%,94.60%,43.00%,7.00%,25.00%,25.00%,0.728,0.502,0.692,0.424,0.649,0.425,0.661,0.405,0.642,0.434,0.682,0.405,0.651,0.423,0.692,0.418,0.623,0.406,0.675,0.41,NA,NA,,NA,,,K-12,1,NA,Brookfield,Public school district,N,N
2018-19,1890,  NA,Cooperative Ed Serv Agcy 01,Fox Point J2,90.9,Significantly Exceeds Expectations,K4,8,NA,793,0.10%,7.30%,9.10%,5.20%,0.00%,72.80%,5.50%,9.80%,11.20%,2.40%,0.00%,1.10%,94.3,48.4,45.9,69.8,40.6,29.2,89.9,46,43.9,NA,NA,NA,93.9,NA,76.1,9.4,8.4,100,50,50,100,50,50,100,50,50,NA,100,NA,80,10,10,63.5,31.9,31.6,66,33,33,73.9,37.2,36.7,NA,86.3,NA,74.4,6.2,5.7,100,50,50,100,50,50,100,50,50,NA,NA,NA,100,NA,80,10,10,Total Deductions: 0,Goal met: no deduction,Goal met: no deduction,97.90%,98.50%,97.90%,98.40%,Lowest Subgroup Rate: Black,94.60%,98.20%,94.60%,98.20%,40.90%,9.10%,25.00%,25.00%,0.78,0.502,0.688,0.424,0.716,0.425,0.687,0.405,0.778,0.434,0.7,0.405,0.709,0.423,0.663,0.418,0.734,0.406,0.658,0.41,NA,NA,,NA,,,K-8,1,NA,Milwaukee,Public school district,N,N
