School_Year,District_ID,School_Code,Cooperative_Educational_Service_Agency,District_Name,Overall_Accountability_Score,Overall_Accountability_Rating,Lowest_Grade_in_the_District,Highest_Grade_in_the_District,School_Type,District_Enrollment,Percent_American_Indian_or_Alaskan_Native,Percent_Asian,Percent_Black_or_African_American,Percent_Hispanic_Latino,Percent_Native_Hawaiian_or_Other_Pacific_Islander,Percent_White,Percent_Two_or_More_Races,Percent_Students_with_Disabilities,Percent_Economically_Disadvantaged,Percent_Limited_English_Proficient,Percent_Within_District_Mobility,Percent_Between_District_Mobility,District_Student_Achievement_Score,District_ELA_Achievement_Score,District_Mathematics_Achievement_Score,District_Student_Growth_Score,District_ELA_Growth_Score,District_Mathematics_Growth_Score,District Target Group Outcomes Score,District Target Group Achievement Score,District Target Group Growth Score,District Target Group Chronic Absenteeism Score,District Target Group Graduation Score,District Target Group Attendance Score,District On-Track to Graduation Score,District Chronic Absenteeism Rate Score,District Graduation Rate Score,District Attendance Rate Score,District 3rd Grade ELA Achievement Score,District 8th Grade Mathematics Achievement Score,State ELA Achievement Score,State Mathematics Achievement Score,State ELA Growth Score,State Mathematics Growth Score,State Chronic Absenteeism Rate Score,State Graduation Rate Score,State Attendance Rate Score,State 3rd Grade ELA Achievement Score,State 8th Grade Mathematics Achievement Score,Test Participation ELA 2021 All Students,Test Participation Mathematics 2021 All Students,Subgroup with lowest ELA test participation rate 2021,Test Participation ELA 2021 lowest rate subgroup,Subgroup with lowest math test participation rate 2021,Test Participation Mathematics 2021 lowest rate subgroup,Score weighting Achievement Priority Area,Score weighting Growth Priority Area,Score weighting Target Group Outcomes Priority Area,Score weighting On-Track Priority Area,District Percent Proficient ELA 2018,State Percent Proficient ELA 2018,District Percent Proficient Mathematics 2018,State Percent Proficient Mathematics 2018,District Percent Proficient ELA 2019,State Percent Proficient ELA 2019,District Percent Proficient Mathematics 2019,State Percent Proficient Mathematics 2019,District Percent Proficient ELA 2021,State Percent Proficient ELA 2021,District Percent Proficient Mathematics 2021,State Percent Proficient Mathematics 2021,Open enrollment note,No Score Note,Grade Band for Comparison,CESA,Locale description,City,Agency type,Charter school indicator,Chartering authority,Virtual school indicator
2020-21,2450,20,Arrowhead UHS,Arrowhead High,85.2,Significantly Exceeds Expectations,9,12,High School,2084,0,0.028,0.008,0.048,0,0.885,0.031,0.077,0.084,0.003,0,0.011,88.1,84.6,91.6,71.7,58.4,85,74,41.6,66,97,98.2,NA,98.9,98.7,99,NA,NA,NA,61.3,55.5,66,66,81.5,91.5,NA,NA,NA,0.964,0.964,SwD,0.873,SwD,0.873,0.456,0.078,0.267,0.2,0.645,0.429,0.713,0.392,0.652,0.408,0.704,0.375,0.602,0.392,0.648,0.339,,,12-Sep,1,Suburb,Hartland,Public school,No,NA,No
2020-21,6013,20,Big Foot UHS,Big Foot High,71.5,Exceeds Expectations,9,12,High School,468,0.006,0.006,0.004,0.212,0,0.741,0.03,0.13,0.423,0.047,0,0.013,60.6,65.7,55.5,71.7,77.4,66,64.1,20,69.8,80.1,94.2,NA,92.7,87.6,97.8,NA,NA,NA,61.3,55.5,66,66,81.5,91.5,NA,NA,NA,0.967,0.967,EL,0.917,EL,0.917,0.215,0.319,0.267,0.2,0.511,0.429,0.423,0.392,0.455,0.408,0.397,0.375,0.371,0.392,0.288,0.339,,,12-Sep,2,Town,Walworth,Public school,No,NA,No
2020-21,657,20,Brighton #1,Brighton Elementary,83.4,Significantly Exceeds Expectations,K4,8,Elementary School,200,0,0,0,0.075,0,0.92,0.005,0.06,0.17,0.005,0,0.025,88.9,86.6,91.2,65.1,60.3,69.8,73.9,46.9,66.9,88.4,NA,96.5,94.4,94.9,NA,96,98.6,82.3,61.4,61.3,66,66,89.6,NA,94.9,58.9,55.3,1,1,White,1,White,1,0.37,0.13,0.25,0.25,0.633,0.42,0.757,0.431,0.618,0.405,0.667,0.428,0.677,0.379,0.646,0.376,,,K-8,2,Rural,Kansasville,Public school,No,NA,No
2020-21,665,20,Bristol #1,Bristol Elementary,80.3,Exceeds Expectations,K4,8,Elementary School,803,0,0.012,0.005,0.098,0,0.836,0.049,0.095,0.224,0.009,0,0.015,75.3,76.3,74.2,75.5,81.2,69.8,78.1,37.7,73.6,90.8,NA,100,92.4,96.2,NA,100,67.7,71.8,61.4,61.3,66,66,89.6,NA,94.9,58.9,55.3,0.952,0.95,Two or More,0.87,SwD,0.857,0.334,0.166,0.25,0.25,0.611,0.42,0.588,0.431,0.551,0.405,0.566,0.428,0.485,0.379,0.443,0.376,,,K-8,2,Suburb,Bristol,Public school,No,NA,No
2020-21,5054,20,Central/Westosha UHS,Central High,71.2,Exceeds Expectations,9,12,High School,1131,0.001,0.014,0.007,0.107,0,0.849,0.022,0.084,0.213,0.012,0,0.027,71.6,73.8,69.4,70.8,66,75.5,56.4,24.7,61.3,76.8,90.5,NA,90.7,87.3,94.1,NA,NA,NA,61.3,55.5,66,66,81.5,91.5,NA,NA,NA,0.946,0.949,Econ Disadv,0.885,Econ Disadv,0.885,0.364,0.169,0.267,0.2,0.556,0.429,0.507,0.392,0.552,0.408,0.516,0.375,0.513,0.392,0.465,0.339,,,12-Sep,2,Rural,Salem,Public school,No,NA,No
2020-21,721,NA,Cooperative Ed Serv Agcy 01,Brown Deer,66.1,Meets Expectations,K4,12,NA,1490,0.001,0.134,0.514,0.093,0,0.172,0.087,0.126,0.562,0.054,0.002,0.025,49.4,52.7,46.1,65.1,66,64.1,60,10.4,72.7,65.8,96.2,NA,81,81.7,96.5,NA,53.4,43.9,61.4,59.4,66,66,87,91.5,NA,58.9,55.3,0.943,0.943,SwD,0.89,SwD,0.89,0.109,0.391,0.25,0.25,0.372,0.423,0.332,0.418,0.348,0.407,0.361,0.41,0.257,0.384,0.194,0.364,,,K-12,1,NA,Brown Deer,Public school district,N,NA,N
2020-21,1015,NA,Cooperative Ed Serv Agcy 01,Cedarburg,89.9,Significantly Exceeds Expectations,K4,12,NA,3099,0.001,0.023,0.01,0.038,0.001,0.9,0.027,0.101,0.102,0.006,0,0.012,88.3,87.1,89.4,92.5,85,100,88.1,44.3,84.1,85.8,98.7,NA,93.3,91.7,98.2,NA,86.9,86.4,61.4,59.4,66,66,87,91.5,NA,58.9,55.3,0.961,0.961,SwD,0.904,SwD,0.904,0.415,0.085,0.25,0.25,0.657,0.423,0.66,0.418,0.664,0.407,0.672,0.41,0.627,0.384,0.693,0.364,,,K-12,1,NA,Cedarburg,Public school district,N,NA,N
2020-21,1253,NA,Cooperative Ed Serv Agcy 01,Cudahy,57.5,Meets Few Expectations,K4,12,NA,2183,0.01,0.018,0.103,0.225,0.002,0.575,0.067,0.18,0.634,0.094,0.001,0.03,46.1,50,42.2,54.6,60.3,48.9,47.1,9.4,61.3,64.3,88.4,NA,75.6,76.9,90.4,NA,55.3,31.9,61.4,59.4,66,66,87,91.5,NA,58.9,55.3,0.936,0.935,SwD,0.861,SwD,0.861,0.061,0.439,0.25,0.25,0.313,0.423,0.278,0.418,0.32,0.407,0.279,0.41,0.26,0.384,0.201,0.364,,,K-12,1,NA,Cudahy,Public school district,N,NA,N
2020-21,714,NA,Cooperative Ed Serv Agcy 01,Elmbrook,87.6,Significantly Exceeds Expectations,PK,12,NA,7280,0.003,0.154,0.026,0.064,0.001,0.703,0.049,0.106,0.106,0.033,0.001,0.021,87.8,85.5,90,87.9,85,90.7,81.1,39.1,77.4,91.6,96,NA,93.7,94.8,98.5,NA,81.3,82.5,61.4,59.4,66,66,87,91.5,NA,58.9,55.3,0.969,0.968,SwD,0.904,SwD,0.904,0.413,0.087,0.25,0.25,0.651,0.423,0.692,0.418,0.624,0.407,0.676,0.41,0.614,0.384,0.626,0.364,,,K-12,1,NA,Brookfield,Public school district,N,NA,N
2020-21,1890,NA,Cooperative Ed Serv Agcy 01,Fox Point J2,84.1,Significantly Exceeds Expectations,K4,8,NA,837,0,0,0,0,0,0,0,0,0.098,0.026,0.001,0.019,90.8,92.7,88.8,72.7,77.4,67.9,67.5,43.8,60.3,91.1,NA,95.8,93.3,94.9,NA,95.8,89.2,81.3,61.4,61.3,66,66,89.6,NA,94.9,58.9,55.3,0.966,0.966,Hispanic,0.879,Hispanic,0.879,0.418,0.082,0.25,0.25,0.709,0.42,0.663,0.431,0.734,0.405,0.658,0.428,0.647,0.379,0.621,0.376,,,K-8,1,NA,Milwaukee,Public school district,N,NA,N
