423,DISTRICT NAME,PROPTAX,FEDERAL,STATE,LOCAL,TOTAL,MEMBER
CODE,Use arrow at right to select district.,,,,,,
7,Abbotsford,2097033,917850.61,6524556,423985.8,9963425.41,771
14,Adams-Friendship Area,12318610,3055157.16,8243403.2,399321.58,24016491.94,1663
63,Albany,3101509,241119.63,2852096.92,505339.7,6700065.25,417
70,Algoma,3279547,544648,5006823.23,416420.22,9247438.45,733
84,Alma,2354785.51,209618.36,962698.19,168105.71,3695207.77,219
91,Alma Center,2426543,682972.48,5174270.69,463224.38,8747010.55,554
105,Almond-Bancroft,1710585,500908.27,4009464.88,203538.13,6424496.28,454
112,Altoona,6263290,1037113.38,12485560.99,554844.63,20340809,1513
119,Amery,9791070,1240432.33,10632266.6,1714539.86,23378308.79,1642
140,Antigo,8517186,2369329.64,18053472.39,1148807.52,30088795.55,2400
147,Appleton Area,67117968,12841491.37,106562319,4902490.65,191424269,15434
154,Arcadia,4509000,1356465.8,11074143.29,395528.23,17335137.32,1325
161,Argyle,1858992,274798.89,2424705.75,226454.98,4784951.62,303
2450,Arrowhead UHS,18922658,609157.63,6513782.38,3798306.37,29843904.38,2126
170,Ashland,6849618,2707228.32,19761096.44,1094854.55,30412797.31,2162
182,Ashwaubenon,17821961,1780774.7,9206355.55,1493736.9,30302828.15,2285
196,Athens,2049089,561890.37,3427246.48,258272.54,6296498.39,445
203,Auburndale,2792675.5,681703.41,6897161.52,567397.36,10938937.79,808
217,Augusta,3876178,882042.12,4704183.42,180043.86,9642447.4,587
231,Baldwin-Woodville Area,5780604,874575.88,13375462.08,1469224.91,21499866.87,1681
245,Bangor,2914331,476083.46,4617315.28,314746.03,8322475.77,616
280,Baraboo,15047384,2420020.26,19339708.72,2219592.73,39026705.71,2984
287,Barneveld,1986844,205423.88,3183656.47,265540.85,5641465.2,437
308,Barron Area,5277289,1461799.49,13294948.18,781866.95,20815903.62,1457
315,Bayfield,6051917,2519097,1359365.77,175115.79,10105495.56,416
336,Beaver Dam,15836229,2528753.9,24635049.12,1858126.31,44858158.33,3470
