2,DISTRICT_NAME,FISCAL_YEAR,Member,Instruction,Pupil_Staff_Support,Admin,Operation_Other,Transportation_cost,Facility_cost,Food_comm_service_cost
CODE,Use arrow at right to select district.,0,0,0,0,0,0,0,0,0
7,Abbotsford,2020,775,5537677.76,626845.61,953465.76,1178853.75,285017.43,690000,624371.52
14,Adams-Friendship Area,2020,1511,12260874.21,2285988.23,2069684.15,2667794.18,788916.08,118519.6,1287245.82
63,Albany,2020,456,3967462.8,637903.47,537812.71,734957.61,205236.89,493704.16,169144.79
70,Algoma,2020,753,4781520.79,898721.25,802739.75,1685124.12,230456.88,443129.64,716421.44
84,Alma,2020,234,1819498.14,245575.34,421839,501027.43,370568.82,284374.3,169950.31
91,Alma Center,2020,549,4210811.5,501260.45,874722.07,1135391.23,394186.3,1765654.77,498521.51
105,Almond-Bancroft,2020,440,3474067.73,426721.79,561524.43,694636.73,363358.21,235790.05,264715.19
112,Altoona,2020,1572,10792950.11,2283525.9,1830202.67,2772777.54,797481.56,2229055.34,807786.77
119,Amery,2020,1622,11933921.37,1928728.16,2108661.66,3075043.36,825989.94,2284945.77,1833644.49
140,Antigo,2020,2323,16619155.93,2907036.3,2839485.28,3644798.37,1355180.76,850433.41,1563716.46
147,Appleton Area,2020,15477,109489518,20620541.75,11881806.12,28432576.51,4686694.85,12189296.6,8285645.08
154,Arcadia,2020,1352,10527466.1,2064311.58,1260895.74,1991239.37,584863.12,1978967.64,1180513.96
161,Argyle,2020,290,2474719.49,223895.97,543659.47,463586.53,237108.58,594140.26,176670.14
2450,Arrowhead UHS,2020,2068,14768279.12,2928521.99,1973347.04,3912718.52,802147.37,3932344.25,1024587.36
170,Ashland,2020,2205,16055731.8,3344682.22,2466411.28,3897201.53,1742086.54,3034097.43,1278241.11
182,Ashwaubenon,2020,2299,15324503.57,2995155.47,2637308.86,4648877.47,980038.74,784458.12,2257709.25
196,Athens,2020,446,4196690.19,533299.84,683377.72,723956.44,416157.26,31568.45,236010.68
203,Auburndale,2020,766,6125192.72,689098.11,1078641.35,1289906.59,595801.53,81536.86,461538.72
217,Augusta,2020,605,4713073.39,969892.99,999119.14,1670080.94,306728.62,341046.2,678734.69
231,Baldwin-Woodville Area,2020,1692,11145244.76,2261118.45,1661571.81,2402488.89,710357.75,2606390.76,1464121.52
245,Bangor,2020,626,4662916.9,724788.23,760491.14,1188358.71,336660.99,638994.91,304663.62
280,Baraboo,2020,3012,22036161.87,4495877.17,2756007.99,4238011.12,1362859.04,6125423.7,1835153.91
287,Barneveld,2020,423,3935464.66,399568.78,514599.74,647855.1,189079.56,978493.02,156490.93
308,Barron Area,2020,1376,11080739.98,1632017.97,1651616.74,3390433.49,883673.7,1574222.45,949749.08
315,Bayfield,2020,442,5588547.91,1371665.73,881574.9,1091569.44,605129.42,632870.44,592507.53
336,Beaver Dam,2020,3522,25932518.68,4433426.8,3309638.26,8628115.28,1411073.85,4148660.6,1765232.78
4263,Beecher-Dunbar-Pembine,2020,242,2657089.3,421303.05,646028.68,627041.42,169055.72,5339.63,222522.7
350,Belleville,2020,953,6584892.7,1398587.21,1210337.89,1807438,267284.16,1978123.93,470216.22
364,Belmont Community,2020,376,2756106.33,417227.64,434278.83,749889.53,178091.44,1155217.42,209685.22
413,Beloit,2020,7101,53936200.23,11953531.16,7693704.47,13029445.95,2569709.35,13564532.08,5841016.8
