DISTRICT_ID,DISTRICT_NAME
7,Abbotsford
14,Adams-Friendship Area
63,Albany
70,Algoma
84,Alma
91,Alma Center
105,Almond-Bancroft
112,Altoona
119,Amery
126,Tomorrow River
140,Antigo Unified
147,Appleton Area
154,Arcadia
161,Argyle
170,Ashland
182,Ashwaubenon
196,Athens
203,Auburndale
217,Augusta
231,Baldwin-Woodville Area
238,Unity
245,Bangor
280,Baraboo
287,Barneveld
308,Barron Area
315,Bayfield
336,Beaver Dam Unified
350,Belleville
364,Belmont Community
413,Beloit
422,Beloit Turner
427,Benton
434,Berlin Area
441,Birchwood
469,Wisconsin Heights
476,Black River Falls
485,Blair-Taylor
490,Pecatonica Area
497,Bloomer
602,Bonduel
609,Boscobel Area
616,North Lakeland Elementary
623,Bowler
637,Boyceville Community
657,Brighton Elementary
658,Brillion
665,Bristol Elementary
700,Brodhead
714,Elmbrook
721,Brown Deer
735,Bruce
777,Burlington Area
840,Butternut
870,Cadott Community
882,Cambria-Friesland
896,Cambridge
903,Cameron
910,Campbellsport
980,Cashton
994,Cassville
1015,Cedarburg
1029,Cedar Grove-Belgium Area
1071,Chequamegon
1080,Chetek-Weyerhaeuser Area
1085,Chilton
1092,Chippewa Falls Area Unified
1120,Clayton
1127,Clear Lake
1134,Clinton Community
1141,Clintonville
1155,Cochrane-Fountain City
1162,Colby
1169,Coleman
1176,Colfax
1183,Columbus
1204,Cornell
1218,Crandon
1232,Crivitz
1246,Cuba City
1253,Cudahy
1260,Cumberland
1295,Darlington Community
1309,Deerfield Community
1316,De Forest Area
1376,Kettle Moraine
1380,Delavan-Darien
1407,Denmark
1414,De Pere
1421,De Soto Area
1428,Dodgeville
1449,Kansasville Elementary
1491,Drummond Area
1499,Durand-Arkansaw
1526,Northland Pines
1540,East Troy Community
1554,Eau Claire Area
1561,Edgar
1568,Edgerton
1582,Elcho
1600,Eleva-Strum
1631,Elkhart Lake-Glenbeulah
1638,Elkhorn Area
1645,Elk Mound Area
1659,Ellsworth Community
1666,Elmwood
1673,Royall
1687,Erin Elementary
1694,Evansville Community
1729,Fall Creek
1736,Fall River
1813,Fennimore Community
1848,Lac du Flambeau Elementary
1855,Florence County
1862,Fond Du Lac
1870,Fontana J8
1883,Fort Atkinson
1890,Fox Point J2
1897,Maple Dale-Indian Hill
1900,Franklin Public
1939,Frederic
1945,Northern Ozaukee
1953,Freedom Area
2009,Galesville-Ettrick-Trempealeau
2016,North Crawford
2044,Geneva J4
2051,Genoa City J2
2058,Germantown
2114,Gibraltar Area
2128,Gillett
2135,Gilman
2142,Gilmanton
2177,Nicolet Union High School
2184,Glendale-River Hills
2198,Glenwood City
2212,Goodman-Armstrong Creek
2217,Grafton
2226,Granton Area
2233,Grantsburg
2240,Black Hawk
2289,Green Bay Area Public
2296,Greendale
2303,Greenfield
2310,Green Lake
2394,Greenwood
2415,Gresham
2420,Hamilton
2422,Saint Croix Central
2436,Hartford UHS
2443,Hartford J1
2450,Arrowhead UHS
2460,Hartland-Lakeside J3
2478,Hayward Community
2485,Southwestern Wisconsin
2525,Herman-Neosho-Rubicon
2527,Highland
2534,Hilbert
2541,Hillsboro
2562,Holmen
2570,Holy Hill Area
2576,Horicon
2583,Hortonville Area
2604,Howard-Suamico
2605,Howards Grove
2611,Hudson
2618,Hurley
2625,Hustisford
2632,Independence
2639,Iola-Scandinavia
2646,Iowa-Grant
2660,Ithaca
2695,Janesville
2702,Jefferson
2730,Johnson Creek
2737,Juda
2744,Dodgeland
2758,Kaukauna Area
2793,Kenosha
2800,Kewaskum
2814,Kewaunee
2828,Kiel Area
2835,Kimberly Area
2842,Kohler
2849,La Crosse
2856,Ladysmith
2863,La Farge
2884,Lake Geneva-Genoa City UHS
2885,Lake Geneva J1
2891,Lake Holcombe
2898,Lake Mills Area
2912,Lancaster Community
2940,Laona
2961,Lena
3087,Linn J4
3094,Linn J6
3122,Richmond Elementary
3129,Little Chute Area
3150,Lodi
3171,Lomira
3206,Loyal
3213,Luck
3220,Luxemburg-Casco
3269,Madison Metropolitan
3276,Manawa
3290,Manitowoc
3297,Maple
3304,Marathon City
3311,Marinette
3318,Marion
3325,Markesan
3332,Marshall
3339,Marshfield Unified
3360,Mauston
3367,Mayville
3381,McFarland
3409,Medford Area Public
3427,Mellen Public School
3428,Melrose-Mindoro
3430,Menasha Joint
3434,Menominee Indian
3437,Menomonee Falls
