FISCAL_YEAR,DISTRICT_ID,DISTRICT NAME, PROPTAX , FEDERAL , STATE , LOCAL , TOTAL ,MEMBER
2019-20,7,Abbotsford," $2,083,227.00 "," $953,036.11 "," $7,452,256.84 "," $278,642.20 "," $10,767,162.15 ",775
2019-20,14,Adams-Friendship Area," $11,131,295.00 "," $2,689,740.62 "," $8,870,177.62 "," $834,039.30 "," $23,525,252.54 ",1511
2019-20,63,Albany," $3,177,694.00 "," $346,574.24 "," $3,407,735.52 "," $446,756.32 "," $7,378,760.08 ",456
2019-20,70,Algoma," $3,425,587.00 "," $786,992.57 "," $5,711,573.86 "," $535,291.62 "," $10,459,445.05 ",753
2019-20,84,Alma," $2,239,440.00 "," $226,704.19 "," $1,256,589.53 "," $228,973.16 "," $3,951,706.88 ",234
2019-20,91,Alma Center," $3,076,270.00 "," $762,237.00 "," $5,445,822.64 "," $376,483.52 "," $9,660,813.16 ",549
2019-20,105,Almond-Bancroft," $1,850,189.00 "," $514,512.92 "," $4,094,685.94 "," $200,630.96 "," $6,660,018.82 ",440
2019-20,112,Altoona," $6,677,794.00 "," $1,073,661.53 "," $13,461,508.77 "," $705,218.05 "," $21,918,182.35 ",1572
2019-20,119,Amery," $8,970,441.00 "," $1,322,584.20 "," $12,179,751.63 "," $1,484,255.27 "," $23,957,032.10 ",1622
2019-20,140,Antigo," $8,373,581.00 "," $2,570,421.53 "," $19,377,424.03 "," $1,050,025.45 "," $31,371,452.01 ",2323
2019-20,147,Appleton Area," $69,809,775.00 "," $12,687,103.42 "," $118,579,355.70 "," $5,209,287.11 "," $206,285,521.30 ",15477
2019-20,154,Arcadia," $4,711,602.00 "," $1,658,335.74 "," $13,268,153.14 "," $491,031.78 "," $20,129,122.66 ",1352
2019-20,161,Argyle," $1,537,409.00 "," $321,933.07 "," $2,571,115.19 "," $206,607.97 "," $4,637,065.23 ",290
2019-20,2450,Arrowhead UHS," $18,281,991.00 "," $711,939.65 "," $7,253,006.39 "," $2,702,075.85 "," $28,949,012.89 ",2068
2019-20,170,Ashland," $6,698,277.00 "," $3,494,726.64 "," $21,334,584.50 "," $470,803.99 "," $31,998,392.13 ",2205
