Year,Field Name,Master Name
2017-2018 School Year,Absenteeism Rate Deduction,Absenteeism Rate Deduction
2018-2019 School Year,Absenteeism Rate Deduction,Absenteeism Rate Deduction
2018-2019 School Year,Accountability Resource Link,Accountability Resource Link
2020-21 School Year,Agency type,Agency type
2017-2018 School Year,Agency type,Agency type
2018-2019 School Year,Agency type,Agency type
2020-21 School Year,CESA,CESA
2017-2018 School Year,CESA,CESA
2018-2019 School Year,CESA,CESA
2017-2018 School Year,Change Outlier Note,Change Outlier Note
2018-2019 School Year,Change Outlier Note,Change Outlier Note
2020-21 School Year,Charter school indicator,Charter school indicator
2017-2018 School Year,Charter school indicator,Charter school indicator
2018-2019 School Year,Charter school indicator,Charter school indicator
2020-21 School Year,Chartering authority,Chartering authority
2020-21 School Year,City,City
2017-2018 School Year,City,City
2018-2019 School Year,City,City
2020-21 School Year,Cooperative Educational Service Agency,Cooperative Educational Service Agency
2017-2018 School Year,Cooperative Educational Service Agency,Cooperative Educational Service Agency
2018-2019 School Year,Cooperative Educational Service Agency,Cooperative Educational Service Agency
2020-21 School Year,District 3rd Grade ELA Achievement Score,District Third-Grade ELA Achievement Score
2017-2018 School Year,District 4 Year Graduation Gap Score,District 4 Year Graduation Gap Score
2018-2019 School Year,District 4 Year Graduation Gap Score,District 4 Year Graduation Gap Score
2017-2018 School Year,District 6 Year Graduation Gap Score,District 6 Year Graduation Gap Score
2018-2019 School Year,District 6 Year Graduation Gap Score,District 6 Year Graduation Gap Score
2020-21 School Year,District 8th Grade Mathematics Achievement Score,District Eighth-Grade Mathematics Achievement Score
2020-21 School Year,District Achievement Score,District Student Achievement Score
2017-2018 School Year,District Attendance Rate Max Score,District Attendance Rate Max Score
2018-2019 School Year,District Attendance Rate Max Score,District Attendance Rate Max Score
2020-21 School Year,District Attendance Rate Score,District Attendance Rate Score
2017-2018 School Year,District Attendance Rate Score,District Attendance Rate Score
2018-2019 School Year,District Attendance Rate Score,District Attendance Rate Score
2020-21 School Year,District Chronic Absenteeism Rate Score,Absenteeism Rate Deduction
2017-2018 School Year,District Closing Gaps Max Score,District Closing Gaps Max Score
